token_id,token_str,count,base_mean,delta_mean
362, 2,126,-3.7171961266735924,-2.689069360718205
1790, short,40,-4.13831004363019,-2.685113401594572
2276, general,51,-3.8161914619119544,-2.683995911424669
2975, road,31,-3.860902702616107,-2.681801848834561
1310, little,86,-3.53842469405149,-2.6811972265601325
1833, understand,35,-3.7371827870607377,-2.679654816644532
5073, Hillary,37,-3.351973842917564,-2.678236548172159
2003, future,53,-3.4961865128211254,-2.6712535875585846
89,z,38,-1.9928216458651342,-2.6694026157580852
1724, means,53,-3.15284591103368,-2.6678541912235985
3896, rule,21,-4.155862544618902,-2.6614027502281328
2431, minutes,25,-2.0457313684932887,-2.66123907642439
2808, 29,23,-4.137270502422167,-2.660978571228359
356, we,514,-2.596051109202092,-2.6570635882705895
2422, military,28,-3.51896618945258,-2.64902286870139
2125, isn,41,-4.817314255528334,-2.64574245999499
1682, actually,57,-5.504992863588166,-2.6451352751045896
2046, fire,26,-2.5718412194401026,-2.6364859523824773
339, he,655,-2.0070400059863016,-2.635870490073873
447,�,3093,-5.231338344937952,-2.6298604272520496
1711, hour,25,-2.410719549737405,-2.625027605288196
1628, project,53,-3.638080951162473,-2.621943653769844
625, over,237,-3.857758932673266,-2.6184195263639394
2524, site,24,-3.255831664428115,-2.618402624502778
1700, record,40,-3.3487660602899267,-2.6132857232121753
6853, lawyer,31,-2.102388530488937,-2.611944799942355
4608, miles,21,-3.376911104257618,-2.6047860804413046
1842, love,44,-4.329899916933342,-2.6038784720003605
2608, 26,27,-6.042921980222066,-2.6029688561404187
1110, day,136,-2.2465006498267246,-2.5912252752682163
465, his,566,-2.2425220345580734,-2.5894716563543043
1096,ize,22,-0.4469542994480765,-2.5819414315513067
4858, massive,34,-6.235978056402767,-2.581443099414602
5471, opposition,32,-5.298683822154999,-2.5778446048498154
2254, City,31,-2.555317697145285,-2.5769666653246652
1103, real,62,-4.993363461970735,-2.5714463961072216
1362,ger,21,-1.0257151244496483,-2.5706473152884945
1997, anything,40,-5.4564904946833845,-2.5661435585469015
41,J,40,-2.8507096665445717,-2.563793303677812
5831, Sanders,40,-2.319789845194464,-2.5624817881987836
3751, showed,22,-4.77932972799648,-2.560844665223901
1737, May,34,-3.449583864856429,-2.557088428310475
1487, change,66,-3.549062073879847,-2.5562168732567723
3451, career,35,-3.2295713127723764,-2.5547490093324865
444,ies,39,-0.3837793550815266,-2.5511431997113574
2855, bill,77,-2.2964328662915663,-2.550906931038027
4446, voters,34,-2.675118433475933,-2.550838616567061
2056, media,66,-3.1403798236455205,-2.549715694646831
2832, hands,21,-3.0115290765783618,-2.539474319932716
812, years,236,-1.264936822014703,-2.5392515161646907
1367, 11,57,-4.1383070645102285,-2.53887663049656
2324, security,22,-3.5420809829268944,-2.5359425051984457
2242, 23,24,-4.006056692606459,-2.5355957009208696
1811, several,49,-5.86946710275144,-2.534102065222605
569, V,31,-4.8131293428521005,-2.53395734054427
17,2,120,-2.214853907204815,-2.5338542307891965
3181, brought,26,-5.118428555818705,-2.5330060582894545
5658, Thomas,28,-5.291778592924986,-2.532503008044192
1992, President,70,-4.2988521043211225,-2.530962135589548
3139, capital,21,-4.294376144806544,-2.529222183284305
2444, students,29,-2.1798499997319847,-2.5263836250222966
