feature,c,arm,A,C
835,1.5,cds,66.82683563232422,1.820683479309082
835,1.5,mts,57.794700622558594,3.4319205284118652
835,2.0,naive,68.43598937988281,1.3260221481323242
835,2.0,norm_preserving,68.95106506347656,1.3489409685134888
835,2.0,denoise_naive,57.59035110473633,1.5842010974884033
835,2.0,cds,67.61582946777344,2.2389602661132812
835,2.0,mts,61.853111267089844,4.111933708190918
835,3.0,naive,71.84880065917969,1.7274761199951172
835,3.0,norm_preserving,70.36581420898438,1.9244334697723389
835,3.0,denoise_naive,58.21595001220703,2.410550594329834
835,3.0,cds,68.76933288574219,2.450287342071533
835,3.0,mts,67.12564849853516,5.542006969451904
