token_id,token_str,count,base_mean,delta_mean
1810, War,25,-1.9074599579849747,-4.113684580536791
2663, cases,37,-2.365166667748142,-4.10088147947917
3210, standard,21,-5.292762272348184,-4.095868904476187
1633, air,33,-4.636508683250709,-4.095165968957272
3052, website,30,-3.1019915605584782,-4.092861604193846
2829, simple,41,-3.7172480354130997,-4.0908487190651455
1479, free,76,-4.253796160229524,-4.083587387384461
3645, investigation,28,-2.990403512226684,-4.080010297042983
3356, movement,29,-4.161008815570124,-4.0752176516528795
5153, funds,21,-4.25865456036159,-4.057528226148515
4047, highly,25,-5.580183632560074,-4.050375215820968
1877, low,42,-5.051885327634712,-4.049416968998101
2450, policy,46,-3.8913923824691903,-4.04814239182388
1393, interest,33,-3.7404859059800706,-4.041286284216877
3822,wood,23,-1.2091099771793739,-4.033104469303077
3071, election,53,-2.5784356511826187,-3.9828442677455724
2524, site,24,-3.255831664428115,-3.978517710541685
2695, content,26,-5.066946175235969,-3.9768034231204252
3306, necessary,21,-4.7924462386540005,-3.9735282489231656
2239, step,24,-2.786998371904095,-3.9566399622708555
1266, best,92,-3.2410132702055345,-3.9547628830693173
3833, pressure,23,-4.372062570374945,-3.9462696041749865
1448, group,82,-3.2125114048036134,-3.924164331359107
5650, gay,22,-3.908339340578426,-3.9148696579716424
2568, energy,46,-3.440012511189865,-3.9130489691768
2097, House,63,-2.330388810653988,-3.912988756348828
494,ie,49,-1.4355882831426856,-3.905586294524255
2732, Department,40,-1.5929192065785174,-3.9038627953908875
1296, form,33,-3.15258366061431,-3.8942239680750808
3280, answer,27,-3.402040834480431,-3.8883122677841504
85,v,28,-3.233180454333446,-3.880785460384297
3923, stories,26,-3.9916855530094697,-3.877258224570631
21882, Assange,28,-1.104950265705286,-3.872831717869434
4479, Union,40,-2.458166754925628,-3.8725566896330523
1445, move,39,-4.450292683564699,-3.8696475869570026
3081, quality,25,-5.110842208862305,-3.8690045547485354
360, D,74,-3.772396225977777,-3.865553140849492
2551, decision,46,-3.6346497159937154,-3.8585968846860137
5727, marijuana,21,-2.214721890432494,-3.843526665298712
303,ve,100,-2.0652174730759363,-3.840927439241459
1524, school,56,-3.5369250234299607,-3.8405372013096764
1303, #,24,-4.099787144717993,-3.8297555159952026
4787, presidential,25,-3.9710269713401796,-3.829328370094299
308, g,23,-6.1808078081711475,-3.8259272264397666
2861, worth,22,-4.224875755290586,-3.818895056483929
512, ad,25,-3.4442873062193393,-3.8167585502564907
2456, words,30,-2.936642336457347,-3.7998068475630133
3403, conditions,26,-3.6117961874518256,-3.795108169532166
4819, politics,25,-3.9729728600382805,-3.7930335524678234
2000, mind,33,-2.3927870252942243,-3.790185175851961
7432, threats,22,-3.1621705446582795,-3.7850926232164386
2266, red,22,-5.721287074414167,-3.7744738865982397
1705, news,73,-3.6452184875100238,-3.7719776015409763
2272, space,29,-4.540244771231865,-3.7717648284702463
2997, billion,50,-1.1794351561553775,-3.7709893314354126
1636,ley,22,-0.7447826472538178,-3.7688357710157185
582, man,81,-3.3647011290304363,-3.7504901039805034
1812, State,57,-2.3658692384661553,-3.7471202118322253
448,out,21,-2.285432657526274,-3.7407764095890648
6994, prime,26,-5.517365941634545,-3.7327809975697432
1327, hard,54,-4.370849026022134,-3.728154944600882
4046, speech,29,-1.6861415153433537,-3.72715969049725
5073, Hillary,37,-3.351973842917564,-3.720102260254223
3599, starting,21,-5.459327868052891,-3.7056649185362316
1751, children,62,-2.734911699929545,-3.7050774275295195
327, C,65,-5.145605748318709,-3.703459982803234
2720, interview,28,-2.0925902418260063,-3.6846385776464428
2041, special,38,-5.589462087987493,-3.684538843739765
3650, store,27,-3.367055284066333,-3.6833184622228146
4041, League,21,-2.7262801167546837,-3.6742465301414042
3186, products,31,-3.1934357223010834,-3.6681418577509537
251,�,849,-3.630767354013857,-3.6663802246611406
2342, watch,32,-2.9354934482453245,-3.637707315656371
2184, court,44,-3.172006571538408,-3.632834212854504
905, show,99,-3.983931396336758,-3.629994496052868
2688, West,24,-4.052244282017152,-3.625199132909377
3418, County,35,-1.243829003402165,-3.624204124723162
