arm,feature,c,dist1,dist2,dist3
naive,15507,2.5,0.23333333333333334,0.0,0.0
naive,15507,3.0,0.16666666666666666,0.0,0.0
naive,15664,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
naive,15664,0.5,0.5883408071748879,0.9067264573991032,0.9327354260089686
naive,15664,1.0,0.591254752851711,0.9163498098859315,0.9391634980988594
naive,15664,1.25,0.5716981132075472,0.9,0.9349056603773584
naive,15664,1.5,0.4673721340388007,0.8059964726631393,0.892416225749559
naive,15664,2.0,0.2214170692431562,0.41545893719806765,0.535426731078905
naive,15664,2.5,0.0780559646539028,0.15537555228276878,0.21944035346097202
naive,15664,3.0,0.029787234042553193,0.05815602836879433,0.08368794326241134
naive,17102,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
naive,17102,0.5,0.5797235023041475,0.8995391705069125,0.9244239631336405
naive,17102,1.0,0.5623215984776403,0.9086584205518554,0.9324452901998097
naive,17102,1.25,0.5480116391852571,0.9127061105722599,0.9408341416100873
naive,17102,1.5,0.5199258572752549,0.9082483781278962,0.9406858202038925
naive,17102,2.0,0.4748603351955307,0.9031657355679702,0.9404096834264432
naive,17102,2.5,0.4375,0.8778409090909091,0.9365530303030303
naive,17102,3.0,0.4051383399209486,0.8428853754940712,0.9308300395256917
naive,23257,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
naive,23257,0.5,0.5943810359964882,0.9122036874451273,0.9280070237050044
naive,23257,1.0,0.602954755309326,0.925207756232687,0.9427516158818098
naive,23257,1.25,0.5931098696461825,0.9152700186219739,0.9394785847299814
naive,23257,1.5,0.6459627329192547,0.9244306418219461,0.9368530020703933
naive,23257,2.0,0.6558265582655827,0.9051490514905149,0.9051490514905149
naive,23257,2.5,0.6666666666666666,0.8776595744680851,0.8687943262411347
naive,23257,3.0,0.6892230576441103,0.8696741854636592,0.8345864661654135
