index,dec_norm,var_along,kappa_tilt,freq,mean_act,n_distinct,content_mass,blocked
231,1.0000303,37.89819,1.2923138,0.016248677,0.73906344,128,0.43517233733212685,False
232,1.0000411,8.005375,1.3954412,0.0023657407,1.2829224,26,0.13347299881178337,False
233,1.0000398,12.660336,1.4728223,0.00021362434,18.99766,1,0.0,False
234,1.0000172,8.084959,1.5382444,0.0006640212,2.6945112,35,0.7153195114844503,False
235,1.0000229,8.99674,1.8783258,0.0020535714,1.9949372,29,0.11444167196684525,False
236,1.0000341,9.96324,2.5879848,0.00054761907,3.1519058,8,0.02073518474544146,False
237,1.0000364,64.20153,0.9481774,0.009111111,1.7386843,110,0.7439612423591653,False
238,1.0001532,12.9696865,1.6683431,0.00029761906,15.492567,4,0.0,False
239,1.0000739,40.44079,1.5092514,0.008386243,1.1689048,173,0.9295531631864595,True
240,1.0000566,10.377443,1.6816932,0.0006322751,2.337497,34,0.8409229805122638,False
241,1.0001376,17.10484,2.1173904,0.00036772486,4.8976207,8,0.9397296418957558,False
242,1.0000838,19.556772,1.0895613,0.0014537037,5.5872273,1,0.0,False
243,1.0000122,14.444924,1.835399,0.00030555556,6.7950974,13,0.059098613364254725,False
244,1.0000412,11.989574,1.8491791,0.0007903439,3.0255992,11,0.19945615036326028,False
245,1.0000681,18.76488,2.0592825,0.00038822752,4.72553,16,0.9536244633154416,False
246,1.0000138,20.801205,2.0011432,0.00022685186,6.853757,7,1.0,False
247,1.0000376,24.65541,1.7658331,0.0009570106,4.377329,30,0.9826552603961791,False
248,1.0000217,13.3237705,2.1821103,0.0075648148,0.98550385,127,0.5058824674315332,True
249,1.0001018,23.663448,1.9028125,0.0029669313,2.7792757,73,0.9283920153133878,False
250,1.0000383,10.77177,1.5692742,0.0013935185,2.3950708,67,0.02834343048707613,False
251,1.0000287,15.5106125,1.4961461,0.0005284392,4.9521494,6,0.7819646449731344,False
252,1.000022,14.728037,2.20457,0.00027513228,4.1510816,18,1.0,False
253,1.000059,12.5377865,2.096158,0.003441799,2.1798213,153,0.6217942539912893,True
254,1.0000592,53.194443,1.0952444,0.017362434,1.1540414,149,0.6499366091400467,False
255,1.0000497,13.570365,1.5682148,0.00014285714,9.578599,7,0.020157818703561092,False
256,1.0000615,13.973517,1.9115758,0.00034060847,10.148101,4,1.0,False
257,1.0000148,18.880135,1.5401435,0.004489418,2.3167794,69,0.9587599070136174,False
258,1.0000216,27.853294,1.5211116,0.0021289682,6.3396063,1,0.0,False
259,0.99999505,16.530602,1.6146246,0.010697751,0.673901,149,0.5834177334268251,False
260,1.0000156,11.700506,1.7207285,0.00034325398,15.291659,3,1.0,False
261,1.0000739,11.811594,1.4641589,0.00025198414,13.71664,1,1.0,False
262,1.0000213,31.553173,1.5782447,0.0028452382,1.7244643,1,0.0,False
263,1.0000486,9.33801,1.7363629,0.00085185183,2.147113,39,0.595870486468316,False
264,1.0000467,20.060114,1.9182998,0.000489418,14.220775,1,1.0,False
265,1.0000768,9.650322,2.4439425,0.0022116401,2.0490305,65,0.9334362553215907,False
266,1.0000511,24.49739,1.9531612,0.0029616402,1.417309,74,0.14528740692923092,False
267,1.0000018,33.732918,1.3893167,0.0019775133,9.621352,1,0.0,False
268,1.0001004,11.894381,1.4831126,0.00021428571,8.147033,1,0.0,False
269,1.0000474,9.187902,1.4894394,0.00046825397,2.199003,57,0.7868413705762843,False
270,1.0000738,7.864868,1.4889406,0.0018604498,2.6223354,49,0.4477512797806346,False
271,1.0000757,7.669102,1.891008,0.0029583334,1.9993005,120,0.4600005664021727,False
272,1.0000542,11.65316,1.6993454,0.00066203706,2.3074484,22,0.13218361596087255,False
273,1.0000387,11.526871,2.321034,0.0013333333,2.3268707,24,0.3537957062640868,False
274,1.0000657,8.421211,1.9205921,0.00032208994,14.018329,1,0.0,False
275,1.0000662,8.6355715,1.2872746,0.0008809524,2.8439114,7,0.9706710971076536,False
276,1.0000108,12.903331,1.8809445,0.0125152115,0.5687302,79,0.156076474825223,False
277,1.0000709,15.840847,1.9110523,0.00052314816,13.289474,1,1.0,False
278,1.0000829,16.754444,1.4054447,0.007952381,1.4105041,1,0.0,False
279,1.0000584,13.358294,1.5940924,0.00029497355,8.219695,4,1.0,False
280,1.0000455,10.099739,1.4683703,0.0014179894,2.5781453,19,0.23644365263031827,False
281,1.0000428,12.118467,1.9211433,0.0035753967,2.0551248,29,0.9882196899818108,False
282,1.0000223,19.974756,1.9651431,0.00035449734,3.5111806,22,0.9232743330617966,False
283,1.0000669,11.597665,1.751127,0.00033068782,3.5896392,20,0.07922755892813635,False
284,1.0000256,13.008582,2.1149204,0.00022751323,8.607746,2,1.0,False
285,1.0000378,9.136583,1.6914765,0.004962963,1.2903833,65,0.19385008658249975,False
